CITRIC ACID,Aceto Corp.,
CITRIC ACID,Spectrum Chemical Mfg. Corp.,
CITRIC ACID,Universal Preserv-a-chem Inc.,
CITRIC ACID,Vivion Inc.,
CITRIC ACID,KIC Chemicals Inc.,
CITRIC ACID,Allan Chemical Corporation,
CITRIC ACID,Prinova,
STEARIC ACID,Vivion Inc.,
STEARIC ACID,Protameen Chemicals Inc.,
STEARIC ACID,American International Chemical Inc.,
STEARIC ACID,KIC Chemicals Inc.,
STEARIC ACID,Azelis UK Life Sciences,
STEARIC ACID,Spectrum Chemical Mfg. Corp.,
STEARIC ACID,Universal Preserv-a-chem Inc.,
STEARIC ACID,Acme-Hardesty Co.,
STEARIC ACID,KIC Chemicals Inc.,
MALIC ACID,American International Chemical Inc.,
MALIC ACID,American International Chemical Inc.,
MALIC ACID,Aceto Corp.,
MALIC ACID,KIC Chemicals Inc.,
MALIC ACID,KIC Chemicals Inc.,
MALIC ACID,Maypro Industries,
MALIC ACID,Universal Preserv-a-chem Inc.,
MALIC ACID,Vivion Inc.,
SALICYLIC ACID,CellMark USA,
SALICYLIC ACID,Newport Industries Ltd,
SALICYLIC ACID,Universal Preserv-a-chem Inc.,
SALICYLIC ACID,Acme-Hardesty Co.,
SALICYLIC ACID,Merck KGaA,
SALICYLIC ACID,Azelis UK Life Sciences,
SALICYLIC ACID,Florida Natural Supply,
SALICYLIC ACID,Salvona Technologies LLC,
STEARIC ACID,Vivion Inc.,
STEARIC ACID,Protameen Chemicals Inc.,
STEARIC ACID,American International Chemical Inc.,
STEARIC ACID,KIC Chemicals Inc.,
STEARIC ACID,Azelis UK Life Sciences,
STEARIC ACID,Spectrum Chemical Mfg. Corp.,
STEARIC ACID,Universal Preserv-a-chem Inc.,
STEARIC ACID,Acme-Hardesty Co.,
STEARIC ACID,KIC Chemicals Inc.,
SORBITOL,Merck KGaA,
SORBITOL,Aceto Corp.,
SORBITOL,KIC Chemicals Inc.,
SORBITOL,KIC Chemicals Inc.,
SORBITOL,Azelis UK Life Sciences,
SORBITOL,Spectrum Chemical Mfg. Corp.,
SORBITOL,Universal Preserv-a-chem Inc.,
SORBITOL,Vivion Inc.,
VITAMIN E,Prinova,
ALLANTOIN,Universal Preserv-a-chem Inc.,
ALLANTOIN,Allan Chemical Corporation,
ALLANTOIN,Merck KGaA,
ALLANTOIN,Clariant Int. Ltd.,
ALLANTOIN,Mehta Enterprise,
ALLANTOIN,Chemerisia Ltd.,
ALLANTOIN,EMD Chemicals Inc.-RONA Cosmetic Business Unit,
ALLANTOIN,Vivion Inc.,
ALLANTOIN,Ashland Specialty Ingredients,
ALLANTOIN,Maypro Industries,
ALLANTOIN,Azelis UK Life Sciences,
ALLANTOIN,Jeen International Corp.,
ALLANTOIN,T.H. Hilson Co.,
PROPYLENE GLYCOL,Norman, Fox & Co.
PROPYLENE GLYCOL,Creative Fragrances LTD.,
PROPYLENE GLYCOL,The Dow Chemical Company,
PROPYLENE GLYCOL,Spectrum Chemical Mfg. Corp.,
PROPYLENE GLYCOL,KIC Chemicals Inc.,
PROPYLENE GLYCOL,Ikeda Corp.,
PROPYLENE GLYCOL,Universal Preserv-a-chem Inc.,
PROPYLENE GLYCOL,Vivion Inc.,
PROPYLENE GLYCOL,CAF International Corp.,
PROPYLENE GLYCOL,Rita Corp.,
BENZOPHENONE-4,CellMark USA,
BENZOPHENONE-4,Mehta Enterprise,
BENZOPHENONE-4,Azelis UK Life Sciences,
BENZOPHENONE-4,Spectrum Chemical Mfg. Corp.,
BENZOPHENONE-4,Universal Preserv-a-chem Inc.,
TOCOPHERYL ACETATE,Merck KGaA,
TOCOPHERYL ACETATE,Protameen Chemicals Inc.,
TOCOPHERYL ACETATE,A&E Connock (Perfumery & Cosmetics) Ltd.,
TOCOPHERYL ACETATE,Charkit Chemical Corp.,
TOCOPHERYL ACETATE,Azelis UK Life Sciences,
TOCOPHERYL ACETATE,Seltzer Chemicals Inc.,
TOCOPHERYL ACETATE,Spectrum Chemical Mfg. Corp.,
TOCOPHERYL ACETATE,Universal Preserv-a-chem Inc.,
TOCOPHERYL ACETATE,Vivion Inc.,
TOCOPHERYL ACETATE,Carillon Green Inc.,
TOCOPHERYL ACETATE,Merck KGaA,
TOCOPHERYL ACETATE,Protameen Chemicals Inc.,
TOCOPHERYL ACETATE,A&E Connock (Perfumery & Cosmetics) Ltd.,
TOCOPHERYL ACETATE,Charkit Chemical Corp.,
TOCOPHERYL ACETATE,Azelis UK Life Sciences,
TOCOPHERYL ACETATE,Seltzer Chemicals Inc.,
TOCOPHERYL ACETATE,Spectrum Chemical Mfg. Corp.,
TOCOPHERYL ACETATE,Universal Preserv-a-chem Inc.,
TOCOPHERYL ACETATE,Vivion Inc.,
TOCOPHERYL ACETATE,Carillon Green Inc.,
RETINYL PALMITATE,Azelis UK Life Sciences,
RETINYL PALMITATE,Universal Preserv-a-chem Inc.,
VITAMIN E,Prinova,
MENTHOL,Cosmetic Ingredients,
MENTHOL,A.B. Industries,
MENTHOL,Salvona Technologies LLC,
MENTHOL,Pangaea Sciences, Inc.
MENTHOL,Symrise AG,
MENTHOL,Barnet Products Corporation,
MENTHOL,Charkit Chemical Corp.,
MENTHOL,Charkit Chemical Corp.,
MENTHOL,Creative Fragrances LTD.,
MENTHOL,Destilaciones Bordas Chinchurreta SA,
MENTHOL,KIC Chemicals Inc.,
MENTHOL,Universal Preserv-a-chem Inc.,
MENTHOL,Moellhausen S.p.A.,
HEXYLENE GLYCOL,Spectrum Chemical Mfg. Corp.,
HEXYLENE GLYCOL,Universal Preserv-a-chem Inc.,
HYDROLYZED WHEAT PROTEIN,Sinerga SpA,
HYDROLYZED WHEAT PROTEIN,Pangaea Sciences, Inc.
HYDROLYZED WHEAT PROTEIN,Universal Preserv-a-chem Inc.,
UREA,American International Chemical Inc.,
UREA,American International Chemical Inc.,
UREA,Azelis UK Life Sciences,
UREA,Universal Preserv-a-chem Inc.,
UREA,Merck KGaA,
CHOLESTEROL,Salvona Technologies LLC,
CHOLESTEROL,Universal Preserv-a-chem Inc.,
CHOLESTEROL,Barnet Products Corporation,
CHOLESTEROL,Charkit Chemical Corp.,
CHOLESTEROL,Charkit Chemical Corp.,
CHOLESTEROL,Spectrum Chemical Mfg. Corp.,
CHOLESTEROL,Charles Bowman and Company,
CHOLESTEROL,Maypro Industries,
CHOLESTEROL,Rita Corp.,
MENTHOL,Cosmetic Ingredients,
MENTHOL,A.B. Industries,
MENTHOL,Salvona Technologies LLC,
MENTHOL,Pangaea Sciences, Inc.
MENTHOL,Symrise AG,
MENTHOL,Barnet Products Corporation,
MENTHOL,Charkit Chemical Corp.,
MENTHOL,Charkit Chemical Corp.,
MENTHOL,Creative Fragrances LTD.,
MENTHOL,Destilaciones Bordas Chinchurreta SA,
MENTHOL,KIC Chemicals Inc.,
MENTHOL,Universal Preserv-a-chem Inc.,
MENTHOL,Moellhausen S.p.A.,
TINOGARD TT,BASF SE,
SODIUM METABISULFITE,Azelis UK Life Sciences,
SODIUM METABISULFITE,Spectrum Chemical Mfg. Corp.,
SODIUM METABISULFITE,Vivion Inc.,
SODIUM METABISULFITE,Universal Preserv-a-chem Inc.,
TINOGARD Q,BASF SE,
HYDROVANCE,AkzoNobel, Personal Care
SENSIVA SC 50,schulke,
GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,Universal Preserv-a-chem Inc.,
GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,BASF SE,
GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE,Mehta Enterprise,
KERATOLINE,Sederma,
CAMPHOR,Salvona Technologies LLC,
CAMPHOR,Universal Preserv-a-chem Inc.,
CAMPHOR,Azelis UK Life Sciences,
CAMPHOR,Universal Preserv-a-chem Inc.,
CAMPHOR,Charkit Chemical Corp.,
CAMPHOR,Destilaciones Bordas Chinchurreta SA,
CAMPHOR,Moellhausen S.p.A.,
CAMPHOR,Pangaea Sciences, Inc.
CAMPHOR,Creative Fragrances LTD.,
HOTACT VBE,Vantage Specialty Ingredients,
HYGROPLEX HHG,CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,
TIMICA SPARKLE 110P,BASF Corporation,
FLAMENCO WINTER SPARKLE 130Q,BASF Corporation,
MICA,Brenntag Specialties Inc., US Headquarters
MICA,Azelis UK Life Sciences,
MICA,Universal Preserv-a-chem Inc.,
SHEA BUTTER,International Cosmetic Science Centre A/S,
SHEA BUTTER,Florida Natural Supply,
SHEA BUTTER,Terry Laboratories LLC,
SHEA BUTTER,Sederma,
SHEA BUTTER,Desert Whale Jojoba Co.,
SHEA BUTTER,Molash Baruch LLC,
SHEA BUTTER,Molash Baruch LLC,
SHEA BUTTER,Molash Baruch LLC,
CARBOPOL ULTREZ 21 POLYMER,Lubrizol Advanced Materials, Inc.
SIMULGEL NS,Seppic,
ARISTOFLEX AVC,Clariant Int. Ltd.,
CARBOPOL 980,Ruger Chemical Co.,
TETRASODIUM EDTA,American International Chemical Inc.,
TETRASODIUM EDTA,American International Chemical Inc.,
TETRASODIUM EDTA,Norman, Fox & Co.
TETRASODIUM EDTA,Universal Preserv-a-chem Inc.,
TETRASODIUM EDTA,Vivion Inc.,
POTASSIUM HYDROXIDE,Universal Preserv-a-chem Inc.,
