Nom du fabricant,Adresse,Courriel,Site Web,No Telephone,No Fax,Autres informations,
Cosmetic Ingredients,Julianalaan 97;Breda  4819AC;Netherlands,sales@cosmeticingredients.eu,www.cosmeticingredients.eu,31-76-581-1010,,31-76-581-1010,
Florida Natural Supply,P.O. Box 2591;West Palm Beach  FL 33410;United States,info@floridanaturalsupply.com,www.floridanaturalsupply.com,561-290-5891,,,
Rita Corp.,;,,,,,,
EMD Chemicals Inc.-RONA Cosmetic Business Unit,;,,,,,,
schulke,;,,,,,,
Molash Baruch LLC,5B Apple Link;Agirgaanor;Accra ;Ghana,wmochia@gmail.com,,233 502084648,,,
Mehta Enterprise,6 Jain Niketan  57 S.V.Road ;Gujar Lane  Santacruz (w);Mumbai  400054;India,info@kirtimehta.com,www.kirtimehta.com,91-98198-95148,91-22-2605-3961,91-22-2649-5148,
Clariant Int. Ltd.,;,,,,,,
Desert Whale Jojoba Co.,;,,,,,,
Seltzer Chemicals Inc.,5927 Geiger Court;Carlsbad  CA 92008;United States,sci@seltzerchemicals.com,www.seltzerchemicals.com,1-760-438-0089,1-760-438-0336,,
Ashland Specialty Ingredients,;,,,,,,
Maypro Industries,;,,,,,,
Destilaciones Bordas Chinchurreta SA,;,,,,,,
CLR Chemisches Laboratorium Dr. Kurt Richter GmbH,;,,,,,,
CAF International Corp.,14 Seymour Street;Caldwell  NJ 07006;United States,sales@cafinternational.com,www.cafinternational.com,1-973-228-1162,1-973-228-7841,,
KIC Chemicals Inc.,87 South Ohioville Road;New Paltz  NY 12561;United States,sales@kicgroup.com,www.kicgroup.com,1-845-883-5306,1-845-883-5326,1-877-542-2855,
International Cosmetic Science Centre A/S,Soenderskovvej 7;44;Lystrup  DK 8520;Denmark,info@icsc.dk,www.icsc.dk,45-8622-9986,,,
Protameen Chemicals Inc.,;,,,,,,
A&E Connock (Perfumery & Cosmetics) Ltd.,Alderholt Mill House;Fordingbridge;Hampshire  SP6 1PU;United Kingdom,sales@connock.co.uk,www.connock.co.uk,44-1425-653-367,44-1425-656-041,,
Purac,;,,,,,,
Norman, Fox & Co.,14970 Don Julian Road;City of Industry  CA 91746;United States,info@norfoxchem.com,www.norfoxchem.com,1-626-581-5600,1-323-973-4874,1-800-632-1777
Allan Chemical Corporation,235 Margaret King Ave.;Ringwood  NJ 07456;United States,aaron@allanchem.com,,973-962-4014,973-962-6820,allanchem.com,
Lubrizol Advanced Materials, Inc.,;,,,,,
CellMark USA,;,,,,,,
Chemerisia Ltd.,342 E. Bramble Cir;Akron  OH 44321;United States,info@chemerisia.com,www.chemerisia.com,330-818-6972,,,
Aceto Corp.,1 Hollow Lane  Suite 201;Lake Success  NY 11042;United States,,www.aceto.com,1-516-627-6000,1-516-627-6093,,
The Dow Chemical Company,;,,,,,,
Newport Industries Ltd,Merlin House;20 Belmont Terrace;London  W4 5UG;United Kingdom,sales@newport-industries.com,www.newport-cosmetics.com,44 208 7420333,44 208 7420444,,
Jeen International Corp.,;,,,,,,
Sinerga SpA,;,,,,,,
Ruger Chemical Co.,1515 W. Blancke St.;Linden  NJ 7036;United States,info@rugerchemical.com,www.rugerchemical.com,1-973-926-0331,1-973-926-4921,1-800-274-7843,
Universal Preserv-a-chem Inc.,60 Jiffy Road;Somerset  NJ 08873;United States,info@upichem.com,www.upichem.com,1-732-568-1266,1-732-568-1299,,
Innospec,;,,,,,,
T.H. Hilson Co.,1761 S. Naperville Road;Wheaton  IL 60189;United States,lisa@thhilson.com,www.thhilson.com,1-630-665-3085,1-630-665-0196,1-800-665-3087,
Salvona Technologies LLC,2521 Kuser Road;Hamilton  NJ 08691;United States,info@salvona.com,www.salvona.com,1-609-655-0173,1-609-655-9291,,
Vivion Inc.,;,,,,,,
Prinova,;,,,,,,
Charkit Chemical Corp.,32 Haviland St.;Unit 1;90;Norwalk  CT 6854;United States,sales@charkit.com,www.charkit.com,1-203-299-3220,1-203-299-1355,,
Spectrum Chemical Mfg. Corp.,769 Jersey Avenue;New Brunswick  NJ 08901-3605;United States,marketing@spectrumchemical.com,www.SpectrumChemical.com,1-310-516-8000,1-800-525-2299,1-800-772-8786,
Seppic,;,,,,,,
BASF SE,;,,,,,,
Brenntag Specialties Inc., US Headquarters,;,,,,,
American International Chemical Inc.,135 Newbury St.;Framingham  MA 01701-4590;United States,mt@aicma.com,www.aicma.com,1-508-270-1800,1-508-872-1566,,
Creative Fragrances LTD.,10850 Sanden Drive;Dallas  TX 75238;United States,sales@creativefragrances.com,www.creativefragrances.com,1-214-341-3666,1-214-341-1423,1-866-593-2203,
Ikeda Corp.,;,,,,,,
Carillon Green Inc.,4548 C West Village Drive;Tampa  FL 33624;United States,dp@carillongreen.com,www.carillongreen.com,1-813-322-3795,1-813-961-5276,,
BASF Corporation,;,,,,,,
Moellhausen S.p.A.,;,,,,,,
Merck KGaA,;,,,,,,
AkzoNobel, Personal Care,;,,,,,
Acme-Hardesty Co.,450 Sentry Parkway E.;Suite 104;Blue Bell  PA 19422;United States,bhuston@acme-hardesty.com,www.acme-hardesty.com,1-215-591-3610,1-215-591-3620,1-866-226-3834,
Barnet Products Corporation,;,,,,,,
Charles Bowman and Company,3328 John F. Donnelly Drive;Holland  MI 49424;United States,cbc@charlesbowman.com,www.charlesbowman.com,1-616-786-4000,1-616-786-2864,,
Symrise AG,;,,,,,,
Sederma,;,,,,,,
Terry Laboratories LLC,;,,,,,,
